train_number,station_code,third_ac,zone,chair_car,first_class,sleeper,second_ac,type,first_ac,distance,duration,month,month_3,month_6,year,week,train_delay_level,station_delay_level
10103,CSMT,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,5,15,20,16,3,8,5
10104,CSMT,1,KR,0,0,1,1,Exp,1,765.0,12.0,9,13,17,17,11,0,5
11007,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.0,1,1,2,3,1,4,5
11008,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,14,15,16,13,14,4,5
11009,CSMT,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,1,1,1,2,1,4,5
11010,CSMT,0,CR,1,0,0,0,Exp,0,192.0,3.8333333134651184,10,16,16,14,11,4,5
11029,CSMT,0,CR,1,0,0,0,Exp,0,518.0,11.75,0,1,1,6,0,16,5
11030,CSMT,0,CR,1,0,0,0,Exp,0,518.0,12.449999988079073,9,13,13,13,7,4,5
11401,CSMT,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,1,1,1,3,1,16,5
11402,CSMT,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,4,5,4,3,6,4,5
12051,CSMT,0,KR,1,0,0,0,JShtb,0,765.0,9.0,1,1,2,2,1,4,5
12052,CSMT,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,18,38,38,29,16,0,5
12071,CSMT,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,2,2,4,6,2,4,5
12072,CSMT,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,7,7,7,6,6,4,5
12105,CSMT,1,CR,0,0,1,1,SF,1,968.0,16.0,1,6,6,5,2,0,5
12106,CSMT,1,CR,0,0,1,1,SF,1,968.0,15.916666686534882,27,42,42,28,34,0,5
12109,CSMT,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,1,1,2,3,1,4,5
12110,CSMT,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,9,12,11,10,6,4,5
12111,CSMT,1,CR,0,0,1,1,SF,1,673.0,12.16666667163372,2,2,3,4,2,4,5
12112,CSMT,1,CR,0,0,1,1,SF,1,673.0,11.5,17,15,12,12,9,4,5
12115,CSMT,1,CR,0,0,1,1,SF,1,455.0,8.25,6,6,7,11,1,16,5
12116,CSMT,1,CR,0,0,1,1,SF,1,455.0,8.25,8,11,14,17,11,4,5
12123,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.25,0,0,0,1,1,4,5
12124,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.1666666716337204,12,36,24,21,11,4,5
12125,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.466666668653488,0,2,1,0,0,4,5
12126,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.333333343267441,9,16,18,16,11,4,5
12127,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.116666667163372,1,1,2,2,0,4,5
12128,CSMT,0,CR,1,0,0,0,SF,0,192.0,3.08333333581686,10,12,13,13,11,4,5
12139,CSMT,1,CR,0,0,1,1,SF,0,838.0,15.16666667163372,1,3,2,2,1,0,5
12140,CSMT,1,CR,0,0,1,1,SF,0,838.0,15.0,18,19,16,18,19,16,5
12261,CSMT,1,SER,0,0,0,1,Drnt,1,1968.0,26.41666665673256,141,175,191,140,195,6,5
12262,CSMT,1,SER,0,0,0,1,Drnt,1,1968.0,26.16666667163372,232,238,237,211,183,9,5
12533,CSMT,1,NER,0,0,1,1,SF,1,1426.0,24.33333334326744,21,3,5,6,7,16,5
12534,CSMT,1,NER,0,0,1,1,SF,1,1426.0,24.33333334326744,2,4,6,8,1,0,5
12701,CSMT,1,SCR,0,0,1,1,SF,1,790.0,14.33333334326744,2,2,2,4,1,16,5
12702,CSMT,1,SCR,0,0,1,1,SF,0,790.0,14.33333334326744,3,6,4,13,3,16,5
12809,CSMT,1,SER,0,0,1,1,SF,1,1968.0,33.25,1,3,5,6,1,3,5
12810,CSMT,1,SER,0,0,1,1,SF,1,1968.0,33.16666667163372,115,101,114,116,83,15,5
10103,DR,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,12,21,25,19,9,8,1
10104,DR,1,KR,0,0,1,1,Exp,1,765.0,12.0,22,28,33,29,25,0,1
11003,DR,1,CR,0,0,1,1,Exp,0,646.0,11.0,0,1,1,5,0,0,1
11004,DR,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,9,11,3,2,11,0,1
11007,DR,0,CR,1,0,0,0,Exp,0,192.0,4.0,3,3,4,5,3,4,1
11008,DR,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,25,29,29,26,22,4,1
11009,DR,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,2,3,3,3,2,4,1
11010,DR,0,CR,1,0,0,0,Exp,0,192.0,3.8333333134651184,12,18,16,16,8,4,1
11027,DR,1,CR,0,0,1,1,Mail,0,1283.0,29.16666667163372,0,1,1,1,0,4,1
11028,DR,1,CR,0,0,1,1,Mail,0,1283.0,28.91666668653488,9,14,15,30,9,16,1
11029,DR,0,CR,1,0,0,0,Exp,0,518.0,11.75,5,5,5,8,6,16,1
11030,DR,0,CR,1,0,0,0,Exp,0,518.0,12.449999988079073,13,19,19,18,12,4,1
11035,DR,1,CR,0,0,1,1,Exp,0,1212.0,24.25,0,1,1,9,0,0,1
11036,DR,1,CR,0,0,1,1,Exp,0,1212.0,23.58333331346512,72,39,27,26,10,12,1
11041,DR,1,CR,0,0,1,1,Exp,0,1283.0,26.75,0,1,1,5,0,16,1
11042,DR,1,CR,0,0,1,1,Exp,0,1283.0,25.83333331346512,34,32,25,33,147,16,1
11401,DR,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,2,4,3,4,3,16,1
11402,DR,1,CR,0,0,1,1,Exp,0,1139.0,23.66666668653488,9,12,12,15,13,4,1
12051,DR,0,KR,1,0,0,0,JShtb,0,765.0,9.0,6,7,7,6,5,4,1
12052,DR,0,KR,1,0,0,0,JShtb,0,765.0,8.833333313465118,28,51,52,39,20,0,1
12071,DR,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,3,3,5,7,3,4,1
12072,DR,0,SCR,1,0,0,0,JShtb,0,374.0,6.75,17,16,18,16,15,4,1
12105,DR,1,CR,0,0,1,1,SF,1,968.0,16.0,6,11,12,11,5,0,1
12106,DR,1,CR,0,0,1,1,SF,1,968.0,15.916666686534882,46,56,56,45,73,0,1
12109,DR,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,3,3,4,4,2,4,1
12110,DR,0,CR,1,0,0,0,SF,0,261.0,4.583333313465118,7,11,11,14,3,4,1
12111,DR,1,CR,0,0,1,1,SF,1,673.0,12.16666667163372,6,6,7,7,4,4,1
12112,DR,1,CR,0,0,1,1,SF,1,673.0,11.5,19,18,15,18,12,4,1
12115,DR,1,CR,0,0,1,1,SF,1,455.0,8.25,6,7,8,13,2,16,1
12116,DR,1,CR,0,0,1,1,SF,1,455.0,8.25,12,15,18,21,18,4,1
12124,DR,0,CR,1,0,0,0,SF,0,192.0,3.1666666716337204,3,30,19,16,1,4,1
12125,DR,0,CR,1,0,0,0,SF,0,192.0,3.466666668653488,5,6,5,5,5,4,1
12126,DR,0,CR,1,0,0,0,SF,0,192.0,3.333333343267441,12,20,20,19,15,4,1
12127,DR,0,CR,1,0,0,0,SF,0,192.0,3.116666667163372,4,4,5,7,1,4,1
12128,DR,0,CR,1,0,0,0,SF,0,192.0,3.08333333581686,7,9,11,14,5,4,1
12131,DR,1,CR,0,0,1,1,SF,0,336.0,6.100000001490116,1,2,2,2,0,4,1
12132,DR,1,CR,0,0,1,1,SF,0,336.0,6.08333333581686,39,22,16,9,72,16,1
12139,DR,1,CR,0,0,1,1,SF,0,838.0,15.16666667163372,3,5,5,5,2,0,1
12140,DR,1,CR,0,0,1,1,SF,0,838.0,15.0,29,29,25,28,28,16,1
12533,DR,1,NER,0,0,1,1,SF,1,1426.0,24.33333334326744,16,32,34,25,12,16,1
12702,DR,1,SCR,0,0,1,1,SF,0,790.0,14.33333334326744,7,12,12,19,6,16,1
12809,DR,1,SER,0,0,1,1,SF,1,1968.0,33.25,4,5,7,10,3,3,1
12810,DR,1,SER,0,0,1,1,SF,1,1968.0,33.16666667163372,112,116,97,81,101,15,1
10103,TNA,1,KR,0,0,1,1,Exp,1,765.0,11.833333313465118,9,19,24,18,5,8,5
10104,TNA,1,KR,0,0,1,1,Exp,1,765.0,12.0,22,30,34,33,23,0,5
11003,TNA,1,CR,0,0,1,1,Exp,0,646.0,11.0,1,1,3,5,1,0,5
11004,TNA,1,CR,0,0,1,1,Exp,0,646.0,12.33333334326744,1,4,7,9,0,0,5
11007,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.0,3,3,4,5,3,4,5
11008,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,26,29,31,29,24,4,5
11009,TNA,0,CR,1,0,0,0,Exp,0,192.0,4.16666667163372,2,3,4,4,4,4,5
11013,TNA,1,CR,0,0,1,1,Exp,1,1518.0,31.91666668653488,4,7,10,18,5,16,5
11014,TNA,1,CR,0,0,1,1,Exp,1,1518.0,30.5,17,20,25,40,21,16,5
11027,TNA,1,CR,0,0,1,1,Mail,0,1283.0,29.16666667163372,0,1,1,1,0,4,5
11028,TNA,1,CR,0,0,1,1,Mail,0,1283.0,28.91666668653488,13,20,20,36,9,16,5
