station,week,month,month_3,month_6,year,train_number,station_code
FIROZPUR CANT (FZR),0,1,2,3,2,4604,FZR
KASU BEGU (KBU),0,3,3,4,4,4604,KBU
GOLEHWALA (GHA),6,5,5,6,6,4604,GHA
PIPLI PAKHI KALAN (PKZ),6,5,5,6,6,4604,PKZ
FARIDKOT (FDK),6,6,6,6,7,4604,FDK
GIANI ZAIL SINGH SANDHWAN (GZS),6,6,6,7,8,4604,GZS
KOT KAPURA (KKP),7,10,9,9,9,4604,KKP
ROMANA ALBEL SINGH (RLS),9,11,10,10,9,4604,RLS
AJIT GILL MATTA H (AJTM),9,11,10,10,9,4604,AJTM
GANGSAR JAITU (GJUT),10,10,9,9,9,4604,GJUT
CHAND BHAN (CBX),10,10,9,8,8,4604,CBX
GONEANA BHAI JAGTA (GNA),8,8,7,8,8,4604,GNA
BHATINDA JN (BTI),4,3,2,3,1,4604,BTI
METUPALAIYAM (MTP),2,1,2,2,2,6009,MTP
KARAIMADAI (KAY),2,2,1,2,2,6009,KAY
COIMBATORE NRTH (CBF),0,1,1,3,4,6009,CBF
COIMBATORE JN (CBE),1,1,1,0,5,6009,CBE
COIMBATORE JN (CBE),0,1,1,1,2,6010,CBE
COIMBATORE NRTH (CBF),1,1,2,1,2,6010,CBF
KARAIMADAI (KAY),1,1,2,2,5,6010,KAY
METUPALAIYAM (MTP),3,3,2,1,2,6010,MTP
DEVANAHALLI (DHL),1,2,3,5,6,6535,DHL
KEMPEGOWDA INT AIRPORT (KIAD),1,1,2,5,6,6535,KIAD
YELHANKA JN (YNK),5,3,3,6,7,6535,YNK
BAIYYAPPANAHALI (BYPL),29,25,28,28,27,6535,BYPL
BANGALORE CANT (BNC),12,14,15,9,4,6535,BNC
BANGALORE CANT (BNC),2,2,2,2,2,6536,BNC
BAIYYAPPANAHALI (BYPL),4,4,4,5,6,6536,BYPL
YELHANKA JN (YNK),6,7,8,13,11,6536,YNK
KEMPEGOWDA INT AIRPORT (KIAD),5,7,9,14,12,6536,KIAD
DEVANAHALLI (DHL),12,8,7,1,1,6536,DHL
KATNI (KTE),0,1,16,16,16,6617,KTE
JHALWARA (JLW),11,15,27,29,29,6617,JLW
RUPAUND (RPD),53,51,52,56,56,6617,RPD
VILAYATKALAN RD (VYK),52,60,57,61,62,6617,VYK
CHANDIA ROAD (CHD),76,71,71,74,74,6617,CHD
LORHA (LOA),76,73,74,78,78,6617,LOA
UMARIA (UMR),76,72,76,79,80,6617,UMR
KARKELI (KKI),77,75,80,84,84,6617,KKI
NOWROZABAD (NRZB),79,76,81,86,86,6617,NRZB
BIRSINGHPUR (BRS),79,78,82,88,88,6617,BRS
MUDARIA (MDXR),81,79,83,88,88,6617,MDXR
GHUNGHUTI (GGT),82,80,85,90,90,6617,GGT
BADHWA BARA (BDWA),92,86,90,95,95,6617,BDWA
SHAHDOL (SDL),91,82,86,91,90,6617,SDL
SINGHPUR (SNGP),92,84,86,90,90,6617,SNGP
CHHADA (CHDX),89,84,86,90,90,6617,CHDX
BURHAR (BUH),88,83,86,91,91,6617,BUH
AMLAI (AAL),89,84,88,91,91,6617,AAL
ANUPPUR JN (APR),89,81,86,89,89,6617,APR
MAUHARI (MZH),87,81,85,89,89,6617,MZH
DHURWASIN (DRSN),87,80,85,88,88,6617,DRSN
HARRAD (HRV),85,81,85,89,88,6617,HRV
KOTMA (KTMA),84,81,84,87,87,6617,KTMA
BAIHATOLA (BATL),84,81,85,87,87,6617,BATL
BIJURI (BJRI),82,82,84,86,86,6617,BJRI
BORIDAND (BRND),88,84,85,87,87,6617,BRND
MANENDRAGARH (MDGR),89,84,84,84,84,6617,MDGR
CHIRMIRI (CHRM),44,32,36,38,37,6617,CHRM
CHIRMIRI (CHRM),0,0,2,1,1,6618,CHRM
MANENDRAGARH (MDGR),11,6,7,6,6,6618,MDGR
BORIDAND (BRND),12,10,11,9,9,6618,BRND
BIJURI (BJRI),9,9,9,7,7,6618,BJRI
BAIHATOLA (BATL),12,10,10,10,10,6618,BATL
KOTMA (KTMA),14,13,14,13,13,6618,KTMA
HARRAD (HRV),13,12,13,12,12,6618,HRV
DHURWASIN (DRSN),13,12,13,12,12,6618,DRSN
MAUHARI (MZH),11,12,13,12,12,6618,MZH
ANUPPUR JN (APR),16,15,18,16,16,6618,APR
AMLAI (AAL),23,23,26,23,23,6618,AAL
BURHAR (BUH),22,24,29,26,26,6618,BUH
CHHADA (CHDX),25,24,30,27,27,6618,CHDX
SINGHPUR (SNGP),32,32,35,31,31,6618,SNGP
SHAHDOL (SDL),29,29,34,29,29,6618,SDL
BADHWA BARA (BDWA),30,29,36,31,31,6618,BDWA
GHUNGHUTI (GGT),30,28,37,31,31,6618,GGT
MUDARIA (MDXR),29,27,37,31,31,6618,MDXR
BIRSINGHPUR (BRS),28,29,37,31,31,6618,BRS
NOWROZABAD (NRZB),27,29,36,31,31,6618,NRZB
KARKELI (KKI),29,28,36,31,31,6618,KKI
UMARIA (UMR),26,25,34,29,29,6618,UMR
LORHA (LOA),26,25,34,28,28,6618,LOA
CHANDIA ROAD (CHD),25,25,33,28,28,6618,CHD
VILAYATKALAN RD (VYK),24,25,34,30,30,6618,VYK
RUPAUND (RPD),21,22,32,27,27,6618,RPD
JHALWARA (JLW),47,53,63,54,54,6618,JLW
KATNI (KTE),38,47,53,45,45,6618,KTE
MUMBAI CENTRAL (MMCT),0,0,1,1,1,9051,MMCT
BORIVALI (BVI),9,10,9,9,9,9051,BVI
BOISAR (BOR),14,18,14,14,14,9051,BOR
VAPI (VAPI),22,25,22,22,22,9051,VAPI
VALSAD (BL),23,28,28,28,28,9051,BL
NAVSARI (NVS),20,27,31,31,31,9051,NVS
BHESTAN (BHET),11,18,18,18,18,9051,BHET
BARDOLI (BIY),7,10,12,12,12,9051,BIY
VYARA (VYA),4,5,9,9,9,9051,VYA
NAVAPUR (NWU),4,2,4,4,4,9051,NWU
NANDURBAR (NDB),4,1,2,2,2,9051,NDB
DONDAICHA (DDE),5,3,3,3,3,9051,DDE
SINDKHEDA (SNK),2,3,5,5,5,9051,SNK
NARDANA (NDN),2,5,7,7,7,9051,NDN
AMALNER (AN),1,3,4,4,4,9051,AN
DHARANGAON (DXG),1,2,4,4,4,9051,DXG
JALGAON JN (JL),4,6,6,6,6,9051,JL
BHUSAVAL JN (BSL),14,2,2,2,2,9051,BSL
AJMER JN (AII),3,10,5,5,3,9621,AII
KISHANGARH (KSG),7,12,7,8,6,9621,KSG
JAIPUR (JP),1,8,6,8,8,9621,JP
SAWAI MADHOPUR (SWM),15,11,9,13,13,9621,SWM
KOTA JN (KOTA),33,23,18,20,20,9621,KOTA
RAMGANJ MANDI (RMA),41,24,22,24,24,9621,RMA
BHAWANI MANDI (BWM),49,29,25,26,26,9621,BWM
RATLAM JN (RTM),56,18,11,9,11,9621,RTM
VADODARA JN (BRC),42,13,8,9,13,9621,BRC
SURAT (ST),47,13,7,7,12,9621,ST
VAPI (VAPI),80,61,48,46,41,9621,VAPI
BORIVALI (BVI),45,47,45,41,35,9621,BVI
BANDRA TERMINUS (BDTS),26,25,27,72,45,9621,BDTS
BANDRA TERMINUS (BDTS),0,2,2,1,2,9622,BDTS
