code,name,latitude,longitude
CSMT,C Shivaji Mah T Railway Station,18.9398446,72.8332588
DR,Mumbai Dadar Central Railway Station,19.0191208,72.8417366
TNA,Thane Railway Station,19.1864587,72.9754684
PNVL,Panvel Railway Station,18.9911223,73.1184573
MNI,Mangaon Railway Station,18.24744,73.27598
KHED,Khed Railway Station,17.7124906,73.4107429
CHI,Chiplun Railway Station,17.5422931,73.5221502
SGR,Sangameshwar Railway Station,17.2016534,73.5465145
RN,Ratnagiri Railway Station,17.0031383,73.3576161
ADVI,Adavali Railway Station,16.92175,73.59274
RAJP,Rajapur Road Railway Station,16.6356045,73.6267938
VBW,Vaibhavwadi Road Railway Station,16.5121,73.70783
KKW,Kankavali Railway Station,16.2594668,73.7199425
SNDD,Sindhudurg Railway Station,16.11208,73.67964
KUDL,Kudal Railway Station,16.0172218,73.6779683
SWV,Sawantwadi Road Railway Station,15.8665971,73.7851803
PERN,Pernem Railway Station,15.7090558,73.8167629
THVM,Thivim Railway Station,15.6299661,73.8768379
KRMI,Karmali Railway Station,15.490463,73.9245664
MAO,Madgaon Junction,15.2676276,73.971059
VEER,Veer Railway Station,18.1137835,73.3303983
SVX,Savarda Railway Station,17.4046757,73.5151623
AVRD,Aravali Road Railway Station,17.316624,73.538207
VID,Vilavade Railway Station,16.7856448,73.6191647
KYN,Kalyan Junction,19.235925,73.1307303
KJT,Karjat Railway Station,18.9097061,73.3209163
LNL,Lonavala Railway Station,18.7495209,73.4074142
CCH,Chinchvad Railway Station,18.638903,73.79139199999999
PMP,Pimpri Railway Station,18.6234665,73.8020382
KK,Khadki Railway Station,18.5631806,73.8406198
SVJR,Shivajinagar Railway Station,18.531738,73.851147
PUNE,Pune Junction,18.5289037,73.8744212
LTT,Mumbai Lokmanya Tilak Terminus Railway Station,19.069688,72.8897828
KWV,Kurduvadi Railway Station,18.0922214,75.416631
SUR,Solapur Railway Station,17.664563,75.8934403
DUD,Dudhani Railway Station,17.3626152,76.3802111
GUR,Ganagapur Road Railway Station,17.3408169,76.589621
KLBG,Kalaburagi Railway Station,17.3149064,76.8246283
SDB,Shahabad Railway Station,17.121662999999998,76.943513
WADI,Wadi Junction,17.0521762,76.9913644
YG,Yadgir Railway Station,16.7439522,77.1302308
KSN,Krishna Railway Station,16.4104049,77.3288409
RC,Raichur Railway Station,16.1924075,77.3394929
MALM,Manthralayam Road Railway Station,15.949035,77.299196
AD,Adoni Railway Station,15.6175995,77.2746882
GTL,Guntakal Junction,15.1753265,77.3666095
ATP,Anantapur Railway Station,14.6862683,77.5952101
DMM,Dharmavaram Junction,14.4261339,77.7152002
SSPN,Sri Satya Sai Prasanthi Nilayam Railway Station,14.1609808,77.7588363
HUP,Hindupur Railway Station,13.8187984,77.4999556
GBD,Gauribidanur Railway Station,13.6134018,77.5131698
BNCE,Bangalore East Railway Station,13.0012254,77.6182764
SBC,Bangalore City Junction,12.9937224,77.5980391
HSRA,Hosur Railway Station,12.7178964,77.8229098
DPJ,Dharmapuri Railway Station,12.125853,78.1541017
SA,Salem Junction,11.6706181,78.1137348
ED,Erode Junction,11.3286028,77.7257991
TUP,Tiruppur Railway Station,11.1085741,77.3397627
CBE,Coimbatore Main Junction,10.9959474,76.9669917
BNC,Bangalore Cantt. Railway Station,12.9937224,77.5980391
DD,Daund Junction,18.4639034,74.5792682
BSL,Bhusaval Junction,21.0481732,75.7886058
JL,Jalgaon Junction,21.0180027,75.5631769
PC,Pachora Junction,20.6692381,75.3493844
KJ,Kajgaon Railway Station,20.5734527,75.1407204
CSN,Chalisgaon Junction,20.4632504,74.9989204
MMR,Manmad Junction,20.2507881,74.4392915
LS,Lasalgaon Railway Station,20.1550193,74.226229
NR,Niphad Railway Station,20.0968456,74.079792
NK,Nasik Road Railway Station,19.9480666,73.8420849
IGP,Igatpuri Railway Station,19.694582,73.5628386
PVR,Pandharpur Railway Station,17.6687,75.31919
KEM,Kem Railway Station,18.1768229,75.274675
JEUR,Jeur Railway Station,18.26077,75.16237
KDG,Kedgaon Railway Station,18.4820563,74.3766582
URI,Uruli Railway Station,18.4937579,74.1372684
TGN,Talegaon Railway Station,18.7350668,73.6722213
NRL,Neral Junction,19.0269562,73.3182923
JJR,Jejuri Railway Station,18.28728,74.1718
NIRA,Nira Railway Station,18.10452,74.20849
LNN,Lonand Railway Station,18.0406179,74.1901415
WTR,Wathar Railway Station,17.8913385,74.1365875
STR,Satara Railway Station,17.688554,74.063585
KRG,Koregaon Railway Station,17.6919886,74.1490775
RMP,Rahimatpur Railway Station,17.6122,74.1724
MSR,Masur Railway Station,17.4048169,74.144676
SIW,Shirravde Railway Station,17.3607602,74.157704
KRD,Karad Railway Station,17.3098,74.2166
KOV,Kirloskarvadi Railway Station,17.0831168,74.4167423
BVQ,Bhilavdi Railway Station,17.0080953,74.5155195
SLI,Sangli Railway Station,16.8584426,74.5881594
MRJ,Miraj Junction,16.8193095,74.6390471
JSP,Jayasingpur Railway Station,16.7911797,74.5516736
HTK,Hatkanagale Railway Station,16.7476138,74.4213729
KOP,Shahu Maharaj Terminus Railway Station,16.70257,74.237695
NMGT,Nimshirgaon Tamdalge Railway Station,16.767955,74.4857671
VRB,Vishrambag Railway Station,16.8509923,74.6028173
DBG,Darbhanga Junction,26.1547905,85.9072674
LSI,Laheria Sarai Railway Station,26.1122723,85.9045738
SPJ,Samastipur Junction,25.8599886,85.7863406
MFP,Muzaffarpur Junction,26.1224065,85.3784348
HJP,Hajipur Junction,25.70228,85.2154709
SEE,Sonpur Junction,25.6971671,85.1686621
CPR,Chhapra Junction,25.7868163,84.7253669
BUI,Ballia Railway Station,25.7593121,84.1483581
GCT,Ghazipur City Railway Station,25.5834015,83.5671974
ARJ,Aunrihar Junction,25.5451152,83.1877568
BCY,Varanasi City Railway Station,25.3343591,83.014264
BSB,Varanasi Junction,25.3267705,82.9862682
BSBS,Banaras Railway Station,25.3268557,82.9841344
GYN,Gyanpur Road Railway Station,25.279838,82.4277079
PRRB,Prayagraj Rambag Railway Station,25.4393909,81.8491893
PRYJ,Prayagraj Junction,25.4452786,81.8253314
