third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
0,12:05:00,MMR,Manmad Pune Express(Via Nasik),CR,1,0,0,MANMAD JN,11025,04:30:00,11026,PUNE,0,,PUNE JN,Exp,0,364.0,7.583333313465118
0,21:30:00,PUNE,Pune Manmad Express,CR,1,0,0,PUNE JN,11026,12:50:00,11025,MMR,0,,MANMAD JN,Exp,0,364.0,8.666666686534882
1,04:55:00,CSTM,Mumbai CST-Chennai Mail,CR,0,0,1,MUMBAI CST,11027,23:45:00,11028,MAS,1,,CHENNAI CENTRAL,Mail,0,1283.0,29.16666667163372
0,20:25:00,CSTM,Koyna Express,CR,1,0,0,MUMBAI CST,11029,08:40:00,11030,KOP,0,,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,518.0,11.75
0,20:22:00,KOP,Koyna Express,CR,1,0,0,C SHAHU M RAJ KOLHAPUR TERM,11030,07:55:00,11029,CSTM,0,,MUMBAI CST,Exp,0,518.0,12.449999988079073
1,06:45:00,PUNE,PUNE - DARBHANGA Gyan Ganga Exp,CR,0,0,1,PUNE JN,11033,16:15:00,11034,DBG,1,,DARBHANGA JN,Exp,0,1948.0,38.5
1,21:45:00,DR,Dadar-Mysore Sharavati Express,CR,0,0,1,MUMBAI DADAR CENTRAL,11035,21:30:00,11036,MYS,1,,MYSORE JN,Exp,0,1212.0,24.25
1,05:50:00,MYS,Mysore-Dadar Sharavati Express,CR,0,0,1,MYSORE JN,11036,06:15:00,11035,DR,1,,MUMBAI DADAR CENTRAL,Exp,0,1212.0,23.58333331346512
1,01:15:00,PUNE,PUNE - GORAKHPUR Exp,CR,0,0,1,PUNE JN,11037,16:15:00,11038,GKP,1,,GORAKHPUR JN,Exp,0,1771.0,33.0
1,04:05:00,GKP,GORAKHPUR - PUNE Exp,CR,0,0,1,GORAKHPUR JN,11038,15:30:00,11037,PUNE,1,,PUNE JN,Exp,0,1771.0,36.58333331346512
1,20:15:00,KOP,Maharashtra Express,CR,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11039,15:30:00,11040,G,1,,GONDIA JN,Exp,0,1346.0,28.75
1,12:45:00,G,Maharashtra Express,CR,0,0,1,GONDIA JN,11040,08:20:00,11039,KOP,1,,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,1346.0,28.41666665673256
1,16:45:00,CSTM,Mumbai - Chennai Express,CR,0,0,1,MUMBAI CST,11041,14:00:00,11042,MAS,1,,CHENNAI CENTRAL,Exp,0,1283.0,26.75
1,12:00:00,KOP,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,CR,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11045,23:45:00,11046,DHN,0,,DHANBAD JN,Exp,0,2968.0,60.25
1,15:25:00,ADI,Ahmedabad-Kolhapur Express,CR,0,0,1,AHMEDABAD JN,11049,19:30:00,11050,KOP,1,,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,961.0,19.91666668653488
1,07:45:00,KOP,Kolhapur-Ahmedabad Express,CR,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11050,12:50:00,11049,ADI,1,,AHMEDABAD JN,Exp,0,961.0,18.91666668653488
1,16:05:00,GKP,GORAKHPUR - MUMBAI LTT Exp,CR,0,0,1,GORAKHPUR JN,11056,06:25:00,11055,LTT,1,,LOKMANYA TILAK TERM,Exp,0,1733.0,33.66666668653488
1,20:55:00,LTT,MUMBAI LTT - CHHAPRA Godan Exp,CR,0,0,1,LOKMANYA TILAK TERM,11059,10:55:00,11060,CPR,1,,CHHAPRA,Exp,0,1772.0,34.0
1,16:05:00,CPR,CHHAPRA - MUMBAI LTT Godan Exp,CR,0,0,1,CHHAPRA,11060,05:30:00,11059,LTT,1,,LOKMANYA TILAK TERM,Exp,0,1772.0,34.58333331346512
1,03:45:00,DBG,DARBHANGA - MUMBAI LTT Pawan Exp,CR,0,0,1,DARBHANGA JN,11062,15:50:00,11061,LTT,1,,LOKMANYA TILAK TERM,Exp,0,1791.0,35.91666668653488
0,13:40:00,CBE,Coimbatore-Mayiladuturai Jan Shatabdi,SR,1,0,0,COIMBATORE JN,12084,07:00:00,12083,MV,0,,MAYILADUTURAI JN,JShtb,0,362.0,6.666666686534882
1,18:45:00,CSTM,MUMBAI CST - MADGAON Mandovi Exp,KR,0,0,1,MUMBAI CST,10103,06:55:00,10104,MAO,1,,MADGAON,Exp,1,765.0,11.833333313465118
1,21:30:00,MAO,MADGAON - MUMBAI CST Mandovi Exp,KR,0,0,1,MADGAON,10104,09:30:00,10103,CSTM,1,,MUMBAI CST,Exp,1,765.0,12.0
1,10:55:00,MAO,Madgaon Ernakulam Weekly Super Fast Express,KR,0,0,1,MADGAON,10215,21:30:00,10216,ERS,1,,ERNAKULAM JN,Exp,1,850.0,13.41666665673256
1,04:00:00,ERS,Ernakulam Madgaon Weekly SF Express,KR,0,0,1,ERNAKULAM JN,10216,14:35:00,10215,MAO,1,,MADGAON,Exp,1,850.0,13.41666665673256
1,10:55:00,DR,DADAR - SAWANTWADI RD Rajya Rani Exp,CR,0,0,1,MUMBAI DADAR CENTRAL,11003,23:55:00,11004,SWV,1,,SAWANTWADI ROAD,Exp,0,646.0,11.0
1,06:30:00,SWV,SAWANTWADI RD - DADAR Rajya Rani Exp,CR,0,0,1,SAWANTWADI ROAD,11004,18:10:00,11003,DR,1,,MUMBAI DADAR CENTRAL,Exp,0,646.0,12.33333334326744
0,11:10:00,CSTM,Deccan Express,CR,1,0,0,MUMBAI CST,11007,07:10:00,11008,PUNE,0,,PUNE JN,Exp,0,192.0,4.0
0,18:40:00,CSTM,Sinhagad Express,CR,1,0,0,MUMBAI CST,11009,14:30:00,11008,PUNE,0,,PUNE JN,Exp,0,192.0,4.16666667163372
0,09:55:00,PUNE,Sinhagad Express,CR,1,0,0,PUNE JN,11010,06:05:00,11009,CSTM,0,,MUMBAI CST,Exp,0,192.0,3.8333333134651184
1,14:30:00,CBE,Coimbatore Mumbai LTT Express,CR,0,0,1,COIMBATORE JN,11014,08:00:00,11013,LTT,1,,LOKMANYA TILAK TERM,Exp,1,1518.0,30.5
1,08:55:00,BSB,Varanasi-Gwalior Bundelkhand Express,NCR,0,0,1,VARANASI JN,11108,18:05:00,11107,GWL,1,,GWALIOR JN,Exp,1,624.0,14.833333313465118
0,12:00:00,JHS,Jhansi-Lucknow Intercity Express,CR,1,0,0,JHANSI JN,11109,06:10:00,11110,LKO,0,,LUCKNOW,Exp,0,292.0,5.833333313465118
0,22:35:00,LKO,Lucknow-Jhansi InterCity,CR,1,0,0,LUCKNOW,11110,16:30:00,11109,JHS,0,,JHANSI JN,Exp,0,292.0,6.08333333581686
1,21:00:00,BJU,Barauni-Gwalior Mail,NCR,0,0,1,BARAUNI JN,11123,18:45:00,11124,GWL,1,,GWALIOR JN,Mail,0,1055.0,26.25
1,13:05:00,GWL,Gwalior Barauni Mail,NCR,0,0,1,GWALIOR JN,11124,11:45:00,11123,BJU,1,,BARAUNI JN,Mail,0,1055.0,25.33333334326744
1,08:25:00,INDB,Indore Gwalior Express,CR,0,0,1,INDORE JN BG,11125,20:15:00,11126,GWL,1,,GWALIOR JN,Exp,0,562.0,12.16666667163372
1,07:50:00,GWL,Gwalior Indore Express,CR,0,0,1,GWALIOR JN,11126,19:30:00,11125,INDB,1,,INDORE JN BG,Exp,0,562.0,12.33333334326744
1,04:45:00,VRL,Veraval Pune Express,CR,0,0,1,VERAVAL,11087,06:25:00,11088,PUNE,1,,PUNE JN,Exp,0,1066.0,22.33333334326744
1,16:40:00,PUNE,Pune Veraval Express,CR,0,0,1,PUNE JN,11088,19:50:00,11087,VRL,1,,VERAVAL,Exp,0,1066.0,20.83333331346512
1,04:45:00,BGKT,BHAGAT KI KOTHI - PUNE Exp,CR,0,0,1,BHAGAT KI KOTHI,11089,05:30:00,11090,PUNE,1,,PUNE JN,Exp,0,1094.0,23.25
1,17:35:00,PUNE,PUNE - BHAGAT KI KOTHI Exp,CR,0,0,1,PUNE JN,11090,19:50:00,11089,BGKT,1,,BHAGAT KI KOTHI,Exp,0,1094.0,21.75
1,04:45:00,BHUJ,BHUJ - PUNE Ahimsa Exp,CR,0,0,1,BHUJ,11091,08:00:00,11092,PUNE,1,,PUNE JN,Exp,0,993.0,20.75
1,15:20:00,PUNE,PUNE - BHUJ Ahimsa Exp,CR,0,0,1,PUNE JN,11092,19:50:00,11091,BHUJ,1,,BHUJ,Exp,0,993.0,19.5
0,14:55:00,ABKP,AMBIKAPUR - JABALPUR Exp,WCR,0,0,1,AMBIKAPUR,11266,06:05:00,11265,JBP,0,,JABALPUR,Exp,0,433.0,8.833333313465118
1,16:15:00,CSTM,Nandigram Express,CR,0,0,1,MUMBAI CST,11401,16:35:00,11402,NGP,1,,NAGPUR,Exp,0,1139.0,23.66666668653488
1,05:40:00,NGP,Nandigram Express,CR,0,0,1,NAGPUR,11402,06:00:00,11401,CSTM,1,,MUMBAI CST,Exp,0,1139.0,23.66666668653488
1,15:25:00,NGP,NAGPUR - KOLHAPUR EXP,CR,0,0,1,NAGPUR,11403,15:00:00,11404,KOP,1,,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,1038.0,24.41666665673256
1,12:35:00,KOP,KOLHAPUR - NAGPUR EXP,CR,0,0,1,C SHAHU M RAJ KOLHAPUR TERM,11404,12:50:00,11403,NGP,1,,NAGPUR,Exp,0,1038.0,23.75
1,04:15:00,JBP,JABALPUR - KOL HOWRAH Shaktipunj Exp,WCR,0,0,1,JABALPUR,11447,00:30:00,11448,HWH,1,,HOWRAH JN,Exp,0,1152.0,27.75
1,15:45:00,HWH,HOWRAH - JABALPUR Shaktipunj Exp,WCR,0,0,1,HOWRAH JN,11448,14:30:00,11447,JBP,1,,JABALPUR,Exp,0,1152.0,25.25
1,08:40:00,SVDK,SHRI MATA VAISHNO DEVI KATRA - JABALPUR Express,CR,0,0,1,S M V D KATRA,11450,23:45:00,11449,JBP,1,,JABALPUR,Exp,0,1509.0,32.91666668653488
0,22:05:00,LKO,Lucknow-NewDelhi Swarn Shatabdi Express,NR,1,0,0,LUCKNOW,12003,15:35:00,12004,NDLS,0,,NEW DELHI,Shtb,0,511.0,6.5
0,21:10:00,RNC,Ranchi-Howrah Shatabdi Express,ER,1,0,0,RANCHI,12020,13:45:00,12019,HWH,0,,HOWRAH JN,Shtb,1,423.0,7.416666656732559
0,13:15:00,HWH,Barbil Janshatabdi,ER,1,0,0,HOWRAH JN,12021,06:20:00,12022,BBN,0,,Barbil,JShtb,0,398.0,6.916666686534882
0,20:50:00,BBN,Barbil Howrah Janshatabdi,ER,1,0,0,Barbil,12022,13:45:00,12021,HWH,0,,HOWRAH JN,JShtb,0,398.0,7.08333333581686
