code,name,latitude,longitude
MAO,Madgaon Junction,15.2676276,73.971059
KRMI,Karmali Railway Station,15.490463,73.9245664
THVM,Thivim Railway Station,15.6299661,73.8768379
PERN,Pernem Railway Station,15.7090558,73.8167629
SWV,Sawantwadi Road Railway Station,15.8665971,73.7851803
KUDL,Kudal Railway Station,16.0172218,73.6779683
SNDD,Sindhudurg Railway Station,16.11208,73.67964
KKW,Kankavali Railway Station,16.2594668,73.7199425
VBW,Vaibhavwadi Road Railway Station,16.5121,73.70783
RAJP,Rajapur Road Railway Station,16.6356045,73.6267938
ADVI,Adavali Railway Station,16.92175,73.59274
RN,Ratnagiri Railway Station,17.0031383,73.3576161
SGR,Sangameshwar Railway Station,17.2016534,73.5465145
CHI,Chiplun Railway Station,17.5422931,73.5221502
KHED,Khed Railway Station,17.7124906,73.4107429
MNI,Mangaon Railway Station,18.24744,73.27598
PNVL,Panvel Railway Station,18.9911223,73.1184573
TNA,Thane Railway Station,19.1864587,72.9754684
DR,Mumbai Dadar Central Railway Station,19.0191208,72.8417366
CSMT,C Shivaji Mah T Railway Station,18.9398446,72.8332588
NZM,Hazrat Nizamuddin Railway Station,28.58733,77.254249
AGC,Agra Cantt. Railway Station,27.1590417,77.9905826
GWL,Gwalior Railway Station,26.2142662,78.1818357
VGLJ,,0.0,0.0
BPL,Bhopal Railway Station,23.2677864,77.4140108
NGP,Nagpur Junction,21.1523063,79.0882217
BPQ,Balharshah Junction,19.8499304,79.3477916
WL,Warangal Junction,17.9733107,79.6057107
BZA,Vijayawada Junction,16.5186803,80.619971
MAS,Chennai Central Railway Station,13.0778704,80.2612511
KOAA,Kolkata Chitpur Railway Station,22.6018382,88.3830655
NH,Naihati Junction,22.8875749,88.4180827
BDC,Bandel Junction,22.9227598,88.3776954
ABKA,Ambika Kalna Railway Station,23.2133715,88.3533249
NDAE,Nabadwip Dham Railway Station,23.3979377,88.3568439
KWAE,Katwa Railway Station,23.6401477,88.1225326
